"INCP Total Personal Income (weekly)","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)","Total",
"Gymea - Grays Point",718,736,933,991,957,948,1034,1243,1014,910,698,1166,845,12200,
"Miranda - Yowie Bay",559,838,1110,1194,1084,1210,1195,1286,985,874,647,941,536,12456,
"Sylvania - Taren Point",502,749,969,960,1021,978,1066,1109,787,741,494,777,624,10777,
"Caringbah",343,464,646,793,671,767,820,885,753,642,442,688,234,8142,
"Caringbah South",476,505,611,662,718,719,736,768,594,549,444,811,726,8315,
"Cronulla - Kurnell - Bundeena",622,823,1020,1252,1303,1398,1743,2096,1553,1486,1020,1571,1087,16967,
"Lilli Pilli - Port Hacking - Dolans Bay",143,94,111,123,152,169,179,177,144,156,135,239,322,2159,
"Woolaware - Burraneer",300,323,349,389,392,404,454,534,425,429,312,475,563,5351,
"Heathcote - Waterfall",265,318,359,403,383,423,432,500,331,323,244,351,137,4465,
"Illawong - Alfords Point",429,475,522,563,562,603,709,862,604,609,384,689,466,7486,
"Menai - Lucas Heights - Woronora",920,949,1047,1080,1163,1121,1364,1651,1171,1159,840,1423,780,14661,
"Oyster Bay - Como - Jannali",797,950,1033,1118,1047,1057,1251,1450,1003,1074,822,1553,1066,14215,
"Royal National Park",0,0,0,0,5,4,5,0,0,0,0,3,0,16,
"Sutherland - Kirrawee",595,880,1181,1378,1148,1237,1471,1736,1311,1146,839,1210,483,14620,
"Engadine",586,772,888,892,1038,991,1152,1259,980,885,682,947,294,11373,
"Loftus - Yarrawarrah",287,317,381,400,457,418,477,518,404,413,304,462,201,5051,
"Woronora Heights",179,149,168,170,212,189,230,261,219,193,143,278,182,2579,
"Total",145088,228771,263660,250824,235150,248771,289407,312593,224101,194630,140814,230754,171407,2935974,
