"AGE10P - Age in Ten Year Groups","0-9 years","10-19 years","20-29 years","30-39 years","40-49 years","50-59 years","60-69 years","70-79 years","80-89 years","90-99 years","100 years and over","Total",
"Gordon - Killara",2361,3412,2376,2296,3134,3049,2123,1393,867,318,7,21328,
"Lindfield - Roseville",3076,3537,2329,2630,3534,3131,2300,1515,849,245,0,23147,
"Pymble",2278,2685,1487,1668,2626,2374,1603,971,530,126,0,16354,
"St Ives",2766,2914,1673,2162,3114,2763,2057,1780,1032,193,5,20456,
"Turramurra",2328,2766,1515,1703,2868,2535,1928,1728,1403,490,0,19267,
"Wahroonga (East) - Warrawee",1921,3217,1746,1579,2578,2644,1792,1298,805,246,0,17822,
"Cremorne - Cammeray",2290,1338,2327,3807,2947,2266,2214,1312,470,104,0,19084,
"Crows Nest - Waverton",1862,923,3034,4577,2693,1912,1607,938,417,66,0,18026,
"Mosman",3275,3318,2802,3818,4349,3944,3133,2303,1158,382,8,28476,
"Neutral Bay - Kirribilli",1476,867,3113,4157,2449,1921,1811,1226,598,236,6,17852,
"North Sydney - Lavender Bay",754,680,1931,2488,1482,1270,1156,695,208,42,0,10703,
"Balgowlah - Clontarf - Seaforth",3129,2895,1694,2240,3594,2841,1850,1198,604,139,3,20188,
"Manly - Fairlight",2310,1552,3228,4822,3092,2517,1949,1361,686,187,0,21704,
"Avalon - Palm Beach",1439,1625,1001,954,1679,2064,1841,1127,513,127,0,12374,
"Bayview - Elanora Heights",1200,1362,834,857,1503,1606,1497,1155,561,170,0,10745,
"Newport - Bilgola",1665,1719,1265,1189,2000,2183,1710,1033,356,65,0,13186,
"Warriewood - Mona Vale",3422,2905,2212,2923,3660,3155,2712,1841,1001,285,12,24134,
"Beacon Hill - Narraweena",1872,1852,1324,1541,2235,1936,1342,1038,590,153,0,13882,
"Cromer",1006,1047,627,808,1222,937,787,627,339,80,5,7485,
"Dee Why - North Curl Curl",3175,2311,3612,4961,3899,3027,2017,1186,636,118,0,24949,
"Forestville - Killarney Heights",1861,2034,905,1152,2199,1656,1092,1091,672,135,0,12796,
"Frenchs Forest - Belrose",3544,3697,2028,2282,4228,3183,2534,2287,1113,283,3,25171,
"Freshwater - Brookvale",2879,2201,2738,4107,3453,2446,1671,856,479,143,5,20978,
"Manly Vale - Allambie Heights",2706,2121,1550,2295,2878,2036,1443,987,642,208,5,16870,
"Narrabeen - Collaroy",2999,2757,2724,3515,3619,3060,2416,1765,1291,621,10,24771,
"Terrey Hills - Duffys Forest",439,553,308,316,589,560,398,304,128,50,0,3648,
"Camden - Ellis Lane",1716,1602,1417,1549,1731,1534,1472,970,704,274,0,12963,
"Elderslie - Harrington Park",3408,3321,2535,2932,3392,2436,1685,891,320,49,0,20980,
"Mount Annan - Currans Hill",4986,4420,3871,4641,4446,3132,1991,796,245,34,0,28576,
"Bradbury - Wedderburn",3037,2777,2738,2660,2366,2125,1890,1038,303,35,0,18962,
"Campbelltown - Woodbine",2421,2134,2945,2745,2181,2018,1854,1158,626,115,0,18194,
"Claymore - Eagle Vale - Raby",3012,3196,3049,2833,2517,2863,1940,702,247,34,0,20405,
"Holsworthy Military Area",0,0,0,0,0,0,0,0,0,0,0,0,
"Ingleburn - Denham Court",2951,2410,2930,3208,2476,2705,1957,895,381,77,0,19985,
"Leumeah - Minto Heights",2241,2063,2282,2423,2035,1956,2137,1054,297,44,0,16541,
"Macquarie Fields - Glenfield",3605,3191,3050,3638,3199,2820,2207,1165,538,137,0,23556,
"Minto - St Andrews",3067,2720,2900,3019,2532,2652,1941,742,261,55,0,19887,
"Rosemeadow - Glen Alpine",2996,3015,3034,2620,2611,2903,2292,1022,320,69,0,20876,
"Bargo",807,793,607,679,840,763,663,417,154,28,0,5740,
"Douglas Park - Appin",1557,1279,1152,1358,1336,1254,937,494,220,51,0,9625,
"Picton - Tahmoor - Buxton",2390,2381,1985,2008,2365,2222,1806,1011,498,116,3,16786,
"The Oaks - Oakdale",1197,1398,1057,994,1369,1214,1110,471,146,33,3,8997,
"Blackheath - Megalong Valley",605,507,390,503,761,932,972,642,224,24,0,5560,
"Blaxland - Warrimoo - Lapstone",2463,2650,1881,2200,2698,2644,2492,1357,476,74,5,18936,
