"CACF Count of All Children in Family","One child in family","Two children in family","Three children in family","Four children in family","Five children in family","Six or more children in family","Total",
"Wetherill Park Industrial",0,0,0,0,0,0,0,
"Casula",1103,1098,513,207,45,20,2992,
"Chipping Norton - Moorebank",1395,1423,583,144,33,9,3582,
"Holsworthy - Wattle Grove",1384,1880,615,136,27,7,4050,
"Liverpool",2161,1625,638,225,46,28,4716,
"Lurnea - Cartwright",756,656,383,187,73,25,2077,
"Prestons - Edmondson Park",1099,1543,698,213,54,23,3624,
"Warwick Farm",495,266,95,30,7,8,906,
"Gymea - Grays Point",1126,1446,527,90,15,0,3208,
"Miranda - Yowie Bay",1359,1261,424,89,15,11,3155,
"Sylvania - Taren Point",1103,1139,395,83,13,5,2732,
"Caringbah",875,773,229,41,4,0,1920,
"Caringbah South",752,959,425,97,8,5,2247,
"Cronulla - Kurnell - Bundeena",1567,1149,443,103,10,3,3276,
"Lilli Pilli - Port Hacking - Dolans Bay",170,253,137,28,3,0,595,
"Woolaware - Burraneer",474,585,283,56,6,0,1407,
"Heathcote - Waterfall",419,497,201,41,7,0,1166,
"Illawong - Alfords Point",728,890,335,85,13,6,2048,
"Menai - Lucas Heights - Woronora",1415,1907,722,146,23,7,4215,
"Oyster Bay - Como - Jannali",1414,1810,673,102,15,3,4026,
"Royal National Park",0,0,0,0,0,0,6,
"Sutherland - Kirrawee",1616,1352,398,66,14,3,3445,
"Engadine",1118,1402,579,112,17,3,3233,
"Loftus - Yarrawarrah",490,616,229,45,5,0,1392,
"Woronora Heights",256,331,136,34,7,0,756,
"Total",309789,298871,107107,28898,6599,3036,754295,
